Title,Book_category,Star_rating,Price,Stock,Quantity
The Midnight Watch: A Novel of the Titanic and the Californian,Add a comment,One,26.2,In stock,12
The Lonely City: Adventures in the Art of Being Alone,Nonfiction,Two,33.26,In stock,12
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Add a comment,Four,59.15,In stock,12
The Golden Condom: And Other Essays on Love Lost and Found,Psychology,One,39.43,In stock,12
The Epidemic (The Program 0.6),Young Adult,Five,14.44,In stock,12
The Dinner Party,Fiction,Two,56.54,In stock,12
The Diary of a Young Girl,Nonfiction,Three,59.9,In stock,12
The Children,Add a comment,Three,11.88,In stock,12
Stars Above (The Lunar Chronicles #4.5),Young Adult,Two,48.05,In stock,12
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Nonfiction,Three,21.21,In stock,12
Raspberry Pi Electronics Projects for the Evil Genius,Default,Four,49.67,In stock,12
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Business,One,43.14,In stock,12
Psycho: Sanitarium (Psycho #1.5),Horror,Five,36.97,In stock,12
Poisonous (Max Revere Novels #3),Mystery,Three,26.8,In stock,12
One with You (Crossfire #5),Add a comment,Four,15.71,In stock,12
No Love Allowed (Dodge Cove #1),Young Adult,Four,54.65,In stock,12
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,Four,54.36,In stock,12
Most Wanted,Mystery,Three,35.28,In stock,12
"Love, Lies and Spies",Historical Fiction,Two,20.55,In stock,12
How to Speak Golf: An Illustrated Guide to Links Lingo,Default,Five,58.32,In stock,12
Hide Away (Eve Duncan #20),Mystery,One,11.84,In stock,12
Furiously Happy: A Funny Book About Horrible Things,Nonfiction,Four,41.46,In stock,12
Everyday Italian: 125 Simple and Delicious Recipes,Food and Drink,Five,20.1,In stock,12
Equal Is Unfair: America's Misguided Fight Against Income Inequality,Politics,One,56.86,In stock,12
Eleanor & Park,Default,Five,56.51,In stock,12
Dirty (Dive Bar #1),Romance,Four,40.83,In stock,12
Can You Keep a Secret? (Fear Street Relaunch #4),Horror,One,48.64,In stock,12
Boar Island (Anna Pigeon #19),Mystery,Three,59.48,In stock,12
A Paris Apartment,Historical Fiction,Four,39.01,In stock,12
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",Food and Drink,One,38.77,In stock,12
Troublemaker: Surviving Hollywood and Scientology,Default,Two,48.39,In stock,11
The Widow,Mystery,Two,27.26,In stock,11
"The Sleep Revolution: Transforming Your Life, One Night at a Time",Nonfiction,Four,11.68,In stock,11
The Improbability of Love,Fiction,One,59.45,In stock,11
The Art of Startup Fundraising,Business,Three,21.0,In stock,11
Take Me Home Tonight (Rock Star Romance #3),Romance,Three,53.98,In stock,11
Sleeping Giants (Themis Files #1),Science Fiction,One,48.74,In stock,11
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",Biography,Two,21.15,In stock,11
Playing with Fire,Mystery,Three,13.71,In stock,11
Off the Hook (Fishing for Trouble #1),Romance,Three,47.67,In stock,11
Mothering Sunday,Fiction,Two,13.34,In stock,11
"Mother, Can You Not?",Nonfiction,Five,16.89,In stock,11
M Train,Autobiography,One,27.18,In stock,11
Lilac Girls,Historical Fiction,Two,17.28,In stock,11
Lies and Other Acts of Love,Fiction,One,45.14,In stock,11
Lab Girl,Autobiography,One,40.85,In stock,11
Keep Me Posted,Womens Fiction,Four,20.46,In stock,11
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Psychology,Three,56.27,In stock,11
Grey (Fifty Shades #4),Womens Fiction,Four,48.49,In stock,11
"Exit, Pursued by a Bear",Young Adult,Four,51.34,In stock,11
Daredevils,Fiction,Three,16.34,In stock,11
Cravings: Recipes for What You Want to Eat,Food and Drink,Three,20.5,In stock,11
Born for This: How to Find the Work You Were Meant to Do,Business,Five,21.59,In stock,11
Arena,Science Fiction,Four,21.36,In stock,11
Adultery,Default,Five,20.88,In stock,11
A Mother's Reckoning: Living in the Aftermath of Tragedy,Nonfiction,Three,19.53,In stock,11
A Gentleman's Position (Society of Gentlemen #3),Romance,Five,14.75,In stock,11
11/22/63,Fiction,Three,48.48,In stock,11
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Nonfiction,Two,24.57,In stock,10
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,Health,Five,49.71,In stock,10
Without Shame,Add a comment,Five,48.27,In stock,9
Watchmen,Add a comment,Four,58.05,In stock,9
Unlimited Intuition Now,Default,Four,58.87,In stock,9
Underlying Notes,Default,Two,11.82,In stock,9
The Shack,Fiction,One,28.03,In stock,9
The New Brand You: Your New Image Makes the Sale for You,Default,Five,44.05,In stock,9
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Food and Drink,Four,12.34,In stock,9
The Flowers Lied,Default,Two,16.68,In stock,9
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Science,One,55.91,In stock,9
The Book of Mormon,Religion,Three,24.57,In stock,9
The Art and Science of Low Carbohydrate Living,Health,Five,52.98,In stock,9
The Alien Club,Young Adult,One,54.4,In stock,9
Suzie Snowflake: One beautiful flake (a self-esteem story),Novels,Five,54.81,In stock,9
Nap-a-Roo,Childrens,One,25.08,In stock,9
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",Default,Four,10.41,In stock,9
Modern Day Fables,Default,Two,47.44,In stock,9
If I Gave You God's Phone Number....: Searching for Spirituality in America,Spirituality,One,20.91,In stock,9
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,Four,33.95,In stock,9
Dress Your Family in Corduroy and Denim,Humor,Three,43.68,In stock,9
Don't Forget Steven,Young Adult,One,33.23,In stock,9
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,Nonfiction,Two,35.92,In stock,9
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,Art,Four,48.63,In stock,9
A Shard of Ice (The Black Symphony Saga #1),Fantasy,Three,56.63,In stock,9
A Hero's Curse (The Unseen Chronicles #1),Add a comment,Three,50.49,In stock,9
23 Degrees South: A Tropical Tale of Changing Whether...,Add a comment,Two,35.79,In stock,9
"Zero to One: Notes on Startups, or How to Build the Future",Nonfiction,Three,34.06,In stock,8
Why Not Me?,Nonfiction,One,17.76,In stock,8
When Breath Becomes Air,Nonfiction,Two,39.36,In stock,8
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,Two,36.94,In stock,8
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),Default,Five,43.62,In stock,8
The New Drawing on the Right Side of the Brain,Art,Three,43.02,In stock,8
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",Nonfiction,Four,28.45,In stock,8
The Martian (The Martian #1),Default,Two,41.39,In stock,8
The High Mountains of Portugal,Fiction,One,51.15,In stock,8
The Grownup,Short Stories,One,35.88,In stock,8
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Business,One,36.91,In stock,8
South of Sunshine,Young Adult,One,28.93,In stock,8
Smarter Faster Better: The Secrets of Being Productive in Life and Business,Nonfiction,Five,38.89,In stock,8
Silence in the Dark (Logan Point #4),Suspense,Three,58.33,In stock,8
Shadows of the Past (Logan Point #1),Christian Fiction,Five,39.67,In stock,8
Roller Girl,Sequential Art,Five,14.1,In stock,8
Rising Strong,Nonfiction,Three,21.82,In stock,8
Proofs of God: Classical Arguments from Tertullian to Barth,Philosophy,One,54.21,In stock,8
Please Kill Me: The Uncensored Oral History of Punk,Music,Four,31.19,In stock,8
Out of Print: City Lights Spotlight No. 14,Poetry,Five,53.64,In stock,8
My Life Next Door (My Life Next Door ),Young Adult,Five,36.39,In stock,8
Miller's Valley,Fiction,Two,58.54,In stock,8
Man's Search for Meaning,Nonfiction,Three,29.48,In stock,8
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Nonfiction,Two,25.06,In stock,8
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Nonfiction,Three,12.55,In stock,8
Les Fleurs du Mal,Poetry,Five,29.04,In stock,8
Left Behind (Left Behind #1),Default,Two,40.72,In stock,8
Kill 'Em and Leave: Searching for James Brown and the American Soul,Music,Five,45.05,In stock,8
Kierkegaard: A Christian Missionary to Christians,Philosophy,One,47.13,In stock,8
John Vassos: Industrial Design for Modern Life,Default,Four,20.22,In stock,8
I'll Give You the Sun,Default,One,56.48,In stock,8
I Will Find You,Nonfiction,One,44.21,In stock,8
Hystopia: A Novel,Fiction,Four,21.96,In stock,8
Howl and Other Poems,Poetry,Two,40.45,In stock,8
History of Beauty,Art,Four,10.29,In stock,8
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Default,Two,52.86,In stock,8
Future Shock (Future Shock #1),Young Adult,Five,55.65,In stock,8
Ender's Game (The Ender Quintet #1),Default,One,43.64,In stock,8
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,Science,One,28.41,In stock,8
Death by Leisure: A Cautionary Tale,Default,Four,37.51,In stock,8
Brilliant Beacons: A History of the American Lighthouse,History,Three,11.45,In stock,8
Brazen: The Courage to Find the You That's Been Hiding,Nonfiction,Two,19.22,In stock,8
Between the World and Me,Nonfiction,Four,56.91,In stock,8
Being Mortal: Medicine and What Matters in the End,Nonfiction,Four,55.06,In stock,8
"A Murder Over a Girl: Justice, Gender, Junior High",Nonfiction,Three,13.2,In stock,8
32 Yolks,Food and Drink,Two,53.63,In stock,8
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",History,Five,44.48,In stock,8
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Self Help,Three,12.08,In stock,7
Wildlife of New York: A Five-Borough Coloring Book,Default,Two,22.14,In stock,7
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,Five,25.37,In stock,7
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,Spirituality,Two,46.33,In stock,7
Under the Tuscan Sun,Travel,Three,37.33,In stock,7
Toddlers Are A**holes: It's Not Your Fault,Humor,One,25.55,In stock,7
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,Default,One,34.72,In stock,7
The Whale,Childrens,Four,35.96,In stock,7
The Story of Art,Art,Four,41.14,In stock,7
The Origin of Species,Science,Four,10.01,In stock,7
The Great Gatsby,Default,Four,36.05,In stock,7
The Good Girl,Default,Three,49.03,In stock,7
The Glass Castle,Add a comment,One,16.24,In stock,7
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,Biography,One,39.55,In stock,7
The Drowning Girls,Add a comment,Three,35.67,In stock,7
The Constant Princess (The Tudor Court #1),Historical Fiction,Three,16.62,In stock,7
The Bourne Identity (Jason Bourne #1),Fiction,Four,42.78,In stock,7
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,Five,52.3,In stock,7
The Art Book,Art,Two,32.34,In stock,7
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Default,Four,33.17,In stock,7
Team of Rivals: The Political Genius of Abraham Lincoln,Add a comment,Five,20.12,In stock,7
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Default,Two,20.9,In stock,7
"Sit, Stay, Love",Romance,Three,20.9,In stock,7
Sister Dear,Fiction,Four,40.2,In stock,7
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Childrens,Three,52.87,In stock,7
"Rich Dad, Poor Dad",Business,One,51.74,In stock,7
Raymie Nightingale,Childrens,Two,34.41,In stock,7
Playing from the Heart,Childrens,One,32.38,In stock,7
Nightstruck: A Novel,Young Adult,Four,50.35,In stock,7
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",Food and Drink,Five,11.38,In stock,7
Meternity,Womens Fiction,Three,43.58,In stock,7
Memoirs of a Geisha,Fiction,Three,49.67,In stock,7
Like Never Before (Walker Family #2),Christian Fiction,Two,28.77,In stock,7
Life of Pi,Default,Four,13.22,In stock,7
Leave This Song Behind: Teen Poetry at Its Best,Poetry,Five,51.17,In stock,7
King's Folly (The Kinsman Chronicles #1),Fantasy,Five,39.61,In stock,7
John Adams,Add a comment,Four,57.43,In stock,7
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),Food and Drink,Four,46.01,In stock,7
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,Food and Drink,Two,28.25,In stock,7
Good in Bed (Cannie Shapiro #1),Add a comment,Five,37.05,In stock,7
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,One,19.57,In stock,7
For the Love: Fighting for Grace in a World of Impossible Standards,Nonfiction,Three,45.13,In stock,7
Finding God in the Ruins: How God Redeems Pain,Nonfiction,Two,46.64,In stock,7
Every Heart a Doorway (Every Heart A Doorway #1),Fantasy,Five,12.16,In stock,7
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,Four,20.89,In stock,7
Counted With the Stars (Out from Egypt #1),Christian Fiction,Five,17.97,In stock,7
"Chronicles, Vol. 1",Music,Two,52.6,In stock,7
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Christian,One,25.77,In stock,7
Benjamin Franklin: An American Life,Biography,Three,48.19,In stock,7
"At The Existentialist Caf̩: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Philosophy,Five,29.93,In stock,7
A Summer In Europe,Travel,Two,44.34,In stock,7
A Short History of Nearly Everything,History,Five,52.4,In stock,7
A Gathering of Shadows (Shades of Magic #2),Fantasy,Four,44.81,In stock,7
The Sound Of Love,Default,Five,57.84,In stock,6
The Rise and Fall of the Third Reich: A History of Nazi Germany,History,Two,39.67,In stock,6
The Perks of Being a Wallflower,Default,Three,55.02,In stock,6
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,Four,24.8,In stock,6
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Nonfiction,Four,59.45,In stock,6
The Makings of a Fatherless Child,Default,Two,31.58,In stock,6
The Joy of Cooking,Add a comment,Four,43.27,In stock,6
The Invention of Wings,Historical Fiction,One,37.34,In stock,6
The Hobbit (Middle-Earth Universe),Default,Five,17.8,In stock,6
The Great Railway Bazaar,Travel,One,30.54,In stock,6
The Golden Compass (His Dark Materials #1),Add a comment,One,18.77,In stock,6
The God Delusion,Add a comment,Three,46.85,In stock,6
The Girl You Left Behind (The Girl You Left Behind #1),Historical,One,15.79,In stock,6
The Fellowship of the Ring (The Lord of the Rings #1),Default,Two,10.27,In stock,6
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),Poetry,Five,15.42,In stock,6
The Barefoot Contessa Cookbook,Food and Drink,Five,59.92,In stock,6
Tell the Wolves I'm Home,Young Adult,Two,50.96,In stock,6
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,Default,Three,30.6,In stock,6
Pride and Prejudice,Add a comment,Four,19.27,In stock,6
Musicophilia: Tales of Music and the Brain,Default,One,46.58,In stock,6
Mere Christianity,Add a comment,Three,48.51,In stock,6
Me Before You (Me Before You #1),Fiction,One,19.02,In stock,6
In the Woods (Dublin Murder Squad #1),Mystery,Two,38.38,In stock,6
In Cold Blood,Nonfiction,Four,49.98,In stock,6
How to Stop Worrying and Start Living,Self Help,Five,46.49,In stock,6
Give It Back,Thriller,Two,18.32,In stock,6
"Girl, Interrupted",Nonfiction,Three,42.14,In stock,6
Fun Home: A Family Tragicomic,Add a comment,Four,56.59,In stock,6
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,Four,20.96,In stock,6
Deception Point,Fiction,Four,40.32,In stock,6
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,Three,36.39,In stock,6
Catherine the Great: Portrait of a Woman,History,Four,58.55,In stock,6
Better Homes and Gardens New Cook Book,Food and Drink,Three,39.61,In stock,6
An Unquiet Mind: A Memoir of Moods and Madness,Psychology,Three,21.3,In stock,6
A Year in Provence (Provence #1),Travel,Four,56.88,In stock,6
World Without End (The Pillars of the Earth #2),Historical Fiction,Four,32.97,In stock,5
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",Young Adult,Four,47.31,In stock,5
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,Nonfiction,Two,48.67,In stock,5
Where She Went (If I Stay #2),Young Adult,Four,41.73,In stock,5
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Default,Four,53.68,In stock,5
Two Summers,Young Adult,One,14.64,In stock,5
This Is Your Brain on Music: The Science of a Human Obsession,Music,One,38.4,In stock,5
The Secret Garden,Classics,Four,15.08,In stock,5
The Raven King (The Raven Cycle #4),Add a comment,Two,30.57,In stock,5
The Raven Boys (The Raven Cycle #1),Fantasy,Four,57.74,In stock,5
The Power Greens Cookbook: 140 Delicious Superfood Recipes,Food and Drink,Five,11.05,In stock,5
The Metamorphosis,Classics,One,28.58,In stock,5
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,History,Five,42.91,In stock,5
The Little Paris Bookshop,Fiction,Three,24.73,In stock,5
The Hiding Place,History,Four,55.91,In stock,5
The Grand Design,Science,Three,13.76,In stock,5
The Firm,Fiction,Three,45.56,In stock,5
The Fault in Our Stars,Default,One,47.22,In stock,5
The False Prince (The Ascendance Trilogy #1),Fantasy,Five,56.0,In stock,5
The Expatriates,Fiction,Two,44.58,In stock,5
The Dream Thieves (The Raven Cycle #2),Default,One,34.5,In stock,5
The Darkest Corners,Young Adult,Five,11.33,In stock,5
The Crossover,Poetry,Four,38.77,In stock,5
The 5th Wave (The 5th Wave #1),Default,Two,11.83,In stock,5
Tell the Wind and Fire,Fantasy,Three,45.51,In stock,5
Tell Me Three Things,Young Adult,One,41.81,In stock,5
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,Nonfiction,Four,25.15,In stock,5
Siddhartha,Fiction,Five,34.22,In stock,5
Shiver (The Wolves of Mercy Falls #1),Default,Five,16.23,In stock,5
Remember Me?,Default,Three,11.48,In stock,5
Red Dragon (Hannibal Lecter #1),Horror,Three,23.37,In stock,5
Peak: Secrets from the New Science of Expertise,Science,Two,16.28,In stock,5
My Mother Was Nuts,Nonfiction,Four,31.63,In stock,5
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,Food and Drink,Five,24.91,In stock,5
Maybe Something Beautiful: How Art Transformed a Neighborhood,Childrens,One,22.54,In stock,5
Lola and the Boy Next Door (Anna and the French Kiss #2),Young Adult,Four,23.63,In stock,5
Logan Kade (Fallen Crest High #5.5),Academic,Two,13.12,In stock,5
Last One Home (New Beginnings #1),Fiction,Three,59.98,In stock,5
Killing Floor (Jack Reacher #1),Thriller,Four,31.49,In stock,5
Kill the Boy Band,Young Adult,Five,15.52,In stock,5
Isla and the Happily Ever After (Anna and the French Kiss #3),Young Adult,Five,48.13,In stock,5
If I Stay (If I Stay #1),Default,Five,38.13,In stock,5
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),Default,Two,36.55,In stock,5
Harry Potter and the Deathly Hallows (Harry Potter #7),Default,One,23.32,In stock,5
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,One,16.33,In stock,5
Foundation (Foundation (Publication Order) #1),Science Fiction,One,32.42,In stock,5
Fool Me Once,Default,One,16.96,In stock,5
Find Her (Detective D.D. Warren #8),Add a comment,One,22.37,In stock,5
Evicted: Poverty and Profit in the American City,Add a comment,One,42.27,In stock,5
Drama,Default,Two,38.7,In stock,5
Dracula the Un-Dead,Horror,Five,35.63,In stock,5
Digital Fortress,Fiction,Five,58.0,In stock,5
"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,One,52.41,In stock,5
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",Nonfiction,Three,32.35,In stock,5
Critique of Pure Reason,Philosophy,One,20.75,In stock,5
Booked,Poetry,Five,17.49,In stock,5
"Blue Lily, Lily Blue (The Raven Cycle #3)",Default,Five,34.13,In stock,5
Approval Junkie: Adventures in Caring Too Much,Autobiography,Five,58.81,In stock,5
An Abundance of Katherines,Young Adult,Five,10.0,In stock,5
America's War for the Greater Middle East: A Military History,History,Two,51.22,In stock,5
Alight (The Generations Trilogy #2),Default,Four,58.59,In stock,5
A Girl's Guide to Moving On (New Beginnings #2),Romance,One,31.3,In stock,5
A Game of Thrones (A Song of Ice and Fire #1),Add a comment,Two,46.42,In stock,5
A Feast for Crows (A Song of Ice and Fire #4),Fantasy,Four,17.21,In stock,5
A Clash of Kings (A Song of Ice and Fire #2),Add a comment,Three,10.79,In stock,5
Vogue Colors A to Z: A Fashion Coloring Book,Default,Four,52.35,In stock,4
The Shining (The Shining #1),Default,Three,27.88,In stock,4
The Pilgrim's Progress,Classics,Two,50.26,In stock,4
The Perfect Play (Play by Play #1),Romance,Three,59.99,In stock,4
The Passion of Dolssa,Historical Fiction,Five,28.32,In stock,4
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,Nonfiction,Three,38.71,In stock,4
The Hunger Games (The Hunger Games #1),Default,Five,29.85,In stock,4
The Hound of the Baskervilles (Sherlock Holmes #5),Classics,Two,14.82,In stock,4
The Gunning of America: Business and the Making of American Gun Culture,Nonfiction,Four,16.81,In stock,4
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Nonfiction,Two,28.23,In stock,4
The Demonists (Demonist #1),Fantasy,Two,52.11,In stock,4
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Sequential Art,Two,27.88,In stock,4
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),Thriller,Three,59.71,In stock,4
The Beast (Black Dagger Brotherhood #14),Fantasy,Five,46.08,In stock,4
Some Women,Womens Fiction,Five,13.73,In stock,4
Shopaholic Ties the Knot (Shopaholic #3),Womens Fiction,Five,48.39,In stock,4
Paper and Fire (The Great Library #2),Fantasy,Five,49.45,In stock,4
Outlander (Outlander #1),Default,Five,19.67,In stock,4
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",Music,Three,12.36,In stock,4
No One Here Gets Out Alive,Music,Five,20.02,In stock,4
Night Shift (Night Shift #1-20),Horror,Four,12.75,In stock,4
Needful Things,Horror,Four,47.51,In stock,4
Mockingjay (The Hunger Games #3),Default,Four,20.44,In stock,4
Misery,Horror,Two,34.79,In stock,4
Little Women (Little Women #1),Classics,Four,28.07,In stock,4
It,Horror,Three,25.01,In stock,4
Harry Potter and the Sorcerer's Stone (Harry Potter #1),Default,Three,13.9,In stock,4
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),Young Adult,Four,24.17,In stock,4
Harry Potter and the Order of the Phoenix (Harry Potter #5),Fantasy,Four,31.63,In stock,4
Harry Potter and the Half-Blood Prince (Harry Potter #6),Fantasy,Five,48.75,In stock,4
Harry Potter and the Chamber of Secrets (Harry Potter #2),Fantasy,One,14.74,In stock,4
Gone with the Wind,Classics,Three,32.49,In stock,4
God Is Not Great: How Religion Poisons Everything,Nonfiction,One,27.8,In stock,4
Girl With a Pearl Earring,Historical Fiction,One,26.77,In stock,4
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Sequential Art,Four,50.44,In stock,4
Far From True (Promise Falls Trilogy #2),Thriller,Two,34.93,In stock,4
Dark Lover (Black Dagger Brotherhood #1),Romance,One,12.87,In stock,4
Confessions of a Shopaholic (Shopaholic #1),Default,Two,48.94,In stock,4
Changing the Game (Play by Play #2),Romance,Three,13.38,In stock,4
Candide,Classics,Three,58.63,In stock,4
Can You Keep a Secret?,Womens Fiction,One,21.94,In stock,4
Atlas Shrugged,Fiction,Five,26.58,In stock,4
Animal Farm,Classics,Three,57.22,In stock,4
A Walk to Remember,Romance,One,56.43,In stock,4
A New Earth: Awakening to Your Life's Purpose,Spirituality,Five,55.65,In stock,4
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Religion,One,27.62,In stock,4
'Salem's Lot,Horror,Four,49.56,In stock,4
Zero History (Blue Ant #3),Default,One,34.77,In stock,3
Wuthering Heights,Classics,Three,17.73,In stock,3
World War Z: An Oral History of the Zombie War,Default,One,21.8,In stock,3
Wild: From Lost to Found on the Pacific Crest Trail,Default,Three,46.02,In stock,3
"Where'd You Go, Bernadette",Default,One,18.13,In stock,3
When You Are Engulfed in Flames,Humor,Five,30.89,In stock,3
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,Nonfiction,Three,31.95,In stock,3
We Are All Completely Beside Ourselves,Contemporary,One,24.04,In stock,3
Walk the Edge (Thunder Road #2),Young Adult,Three,32.36,In stock,3
Voyager (Outlander #3),Historical Fiction,Five,21.07,In stock,3
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,Nonfiction,Three,50.66,In stock,3
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,Food and Drink,Two,13.66,In stock,3
"Unstuffed: Decluttering Your Home, Mind, and Soul",Nonfiction,One,58.09,In stock,3
Under the Banner of Heaven: A Story of Violent Faith,Nonfiction,One,30.0,In stock,3
Two Boys Kissing,Young Adult,Two,32.74,In stock,3
Twilight (Twilight #1),Default,Two,41.93,In stock,3
Twenties Girl,Womens Fiction,Two,42.8,In stock,3
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",Nonfiction,One,53.51,In stock,3
Three-Martini Lunch,Fiction,Three,23.21,In stock,3
"Thinking, Fast and Slow",Psychology,One,21.14,In stock,3
The Wild Robot,Childrens,Three,56.07,In stock,3
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Sequential Art,Three,14.41,In stock,3
The Undomestic Goddess,Womens Fiction,Four,45.75,In stock,3
The Travelers,Thriller,One,15.77,In stock,3
The Tipping Point: How Little Things Can Make a Big Difference,Add a comment,Two,10.02,In stock,3
The Thing About Jellyfish,Childrens,One,48.77,In stock,3
The Stand,Horror,Two,57.86,In stock,3
The Smitten Kitchen Cookbook,Food and Drink,One,23.59,In stock,3
The Silkworm (Cormoran Strike #2),Mystery,Five,23.05,In stock,3
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,Five,55.55,In stock,3
The Rose & the Dagger (The Wrath and the Dawn #2),Fantasy,Four,58.64,In stock,3
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,One,23.21,In stock,3
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),Biography,Three,42.57,In stock,3
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),Science Fiction,One,10.92,In stock,3
The Rest Is Noise: Listening to the Twentieth Century,Add a comment,One,34.77,In stock,3
The Red Tent,Historical Fiction,Five,35.66,In stock,3
The Purpose Driven Life: What on Earth Am I Here for?,Add a comment,Three,37.19,In stock,3
The Purest Hook (Second Circle Tattoos #3),Romance,One,12.25,In stock,3
The Picture of Dorian Gray,Classics,Two,29.7,In stock,3
The Paris Wife,Default,Three,36.8,In stock,3
The Obsession,Romance,One,45.43,In stock,3
The Nightingale,Fiction,Four,26.26,In stock,3
The New Guy (and Other Senior Year Distractions),Young Adult,Three,44.92,In stock,3
The Nanny Diaries (Nanny #1),Womens Fiction,Five,52.53,In stock,3
The Name of God is Mercy,Nonfiction,Two,37.25,In stock,3
The Maze Runner (The Maze Runner #1),Default,One,20.93,In stock,3
The Lover's Dictionary,Default,Two,58.09,In stock,3
The Lonely Ones,Childrens,Five,43.59,In stock,3
